åé,ì˙,ãCâ∑,ç~êÖó ,ì˙éÀó ,ïóë¨,éºìx
1,1,4.4,0,11.72,1.5,40
1,2,4.8,0,11.47,2,53
1,3,3.7,0,10.63,1.6,52
1,4,5.8,0,10.27,1.8,52
1,5,6,0,5.58,1.7,67
1,6,5.3,0,4.92,2.4,73
1,7,6.3,0,10.36,4,47
1,8,2.4,0,8.79,1.8,42
1,9,2.9,0,12.53,2.3,31
1,10,2.6,0,12.39,2,44
1,11,2.3,0,6.57,2,47
1,12,3.4,0,3.41,2.3,68
1,13,5.8,0,12.2,1.8,64
1,14,7.9,0,11.93,1.8,55
1,15,6.6,0,2.77,2.1,68
1,16,10,0,11.4,2.7,61
1,17,6.1,0,5.45,2.2,52
1,18,4.3,0,8.98,2,67
1,19,4.4,0,12.94,4.1,40
1,20,3.9,0,13.23,2.8,41
1,21,4.8,0,12.25,1.8,53
1,22,8.7,0,11.94,1.4,48
1,23,6.4,19,1.34,3.1,85
1,24,4.3,13,2.67,3.6,95
1,25,7.6,1.5,12.79,1.9,74
1,26,7.5,0,7.37,1.7,73
1,27,10.3,1,5.13,2.5,68
1,28,4.4,9,2.42,2.5,78
1,29,5.3,0,12.65,3.2,54
1,30,4.1,0,14.79,2.9,36
1,31,5.4,0,14.42,2.6,42
2,1,7.2,0,8.7,2.7,57
2,2,8.8,12,8.75,3.2,67
2,3,6.2,0,14.78,2,42
2,4,7,0,14.88,2.9,42
2,5,7.1,0,14.67,2.4,53
2,6,8.9,0,14.77,1.7,55
2,7,9.9,0,14.41,2.4,49
2,8,6.1,0,9.51,3.2,41
2,9,4.7,0,16.35,4,32
2,10,6.7,0,14.44,2.3,48
2,11,8.7,0,15.68,3.5,44
2,12,7.8,0,9.04,1.9,56
2,13,10.4,0,15.23,2.4,66
2,14,12.3,0,13.13,2.9,64
2,15,11.4,76.5,1.3,2.7,91
2,16,10.6,0,16.96,3,38
2,17,7.6,0,13.24,4,37
2,18,4.3,0,15.93,2.9,35
2,19,6.9,0,17.65,3.2,41
2,20,10.2,0,17.42,3.3,47
2,21,13.9,0,16.52,2.3,56
2,22,14.9,0,16.52,2.7,53
2,23,11,0,17.44,4.3,39
2,24,6.4,0,18.26,4.3,34
2,25,6.6,0,16.88,3,45
2,26,8.7,0,5.21,2.7,43
2,27,5.7,0,17.47,3.7,38
2,28,6.6,0,18.96,2.4,54
3,1,11.8,0.5,16.06,3.3,64
3,2,13.5,9.5,4.37,5.6,82
3,3,7.4,0,20.21,4.6,43
3,4,9,0,17.77,2.4,60
3,5,11.8,2,10.89,1.7,78
3,6,13.8,0.5,13.76,2.3,70
3,7,7.8,0,9.62,2.9,56
3,8,6.6,5.5,3.14,2.6,87
3,9,9.6,0,13.46,2.2,70
3,10,12,0,20.57,3.5,45
3,11,9.9,0,20.28,2.4,52
3,12,12.7,0,11.63,1.9,63
3,13,11.1,65,1.81,3.3,95
3,14,12.5,0,21.41,5.6,46
3,15,12.9,0,21.35,3.8,34
3,16,14.5,0,17.41,2.8,46
3,17,13.7,0,19.76,3.6,38
3,18,12.3,0,20.99,2.6,49
3,19,12.9,0,18.09,2.7,57
3,20,14.1,0,10.08,2,68
3,21,16.7,46.5,1.76,5.2,95
3,22,12.1,0.5,10.8,3.5,54
3,23,10.8,0,22.32,2.9,46
3,24,13.8,0,22.14,3.5,61
3,25,14.5,0.5,8.96,3,76
3,26,14.5,0,21.36,3.4,42
3,27,13.7,0,21.23,3.3,49
3,28,16.5,8,5.21,4.5,80
3,29,17.5,34.5,22.24,2.7,84
3,30,17.8,0,13.53,2.4,76
3,31,17.9,0,22.1,3.2,54
4,1,16.6,0,18.05,2.8,61
4,2,16,0,10.21,2.6,63
4,3,16.9,0,20.63,2.7,63
4,4,18.5,10.5,14.31,4.1,75
4,5,12.9,18,3.09,3.2,89
4,6,10.6,0,14.27,2.8,65
4,7,13.3,0,24.38,2.5,59
4,8,13.3,2.5,20.82,3.4,65
4,9,11.9,0,17.78,3.1,46
4,10,10.4,0,23.95,3,42
4,11,12.5,0,25.55,2.7,58
4,12,14.4,0,23.53,3,60
4,13,15.7,0.5,7.7,3.8,79
4,14,15.3,36,4.52,3.6,96
4,15,10.7,0,25.5,3.1,53
4,16,13.7,0,14.33,2.6,64
4,17,15.7,33.5,4.66,3.2,80
4,18,16.4,15,27.07,4.2,51
4,19,15.8,0,26.31,3.5,41
4,20,17.2,0,25.54,2.5,52
4,21,19.1,0,26.66,3.1,35
4,22,18.1,0,22.65,4.2,32
4,23,13.8,0,27.63,3.1,52
4,24,15.3,0,24.19,2.6,57
4,25,16.9,0,19.11,3.1,58
4,26,13.4,0,28.26,3.3,35
4,27,14.6,0,24.54,3.5,54
4,28,18.2,0,20.4,3.8,63
4,29,17.2,37,6.1,4.4,91
4,30,18.8,3,27.01,3.4,64
5,1,17.7,8,21.19,4,73
5,2,16.3,2,20.74,4.2,66
5,3,16.4,0,23.7,3.7,42
5,4,18,0,25.58,2.6,52
5,5,18.3,3,8.92,5.3,72
5,6,18.5,3.5,18.61,2.8,75
5,7,17.5,1,6.7,1.8,83
5,8,19.5,0,21.08,2.9,71
5,9,23,0,23.73,4.3,56
5,10,20.2,0,24.41,3.4,43
5,11,17.5,0,6.68,2.3,58
5,12,17.9,0,15.76,3.1,56
5,13,16.1,12,3.41,1.8,94
5,14,20.8,0,24.17,2.4,77
5,15,21.2,0,22.07,3.7,72
5,16,20,1,8.72,3.5,82
5,17,23,0.5,5.19,6.1,88
5,18,20.5,1,3.75,2.6,90
5,19,17.2,9.5,2.86,1.5,98
5,20,19.1,2,9.03,1.6,93
5,21,21.7,5,7.36,4.9,92
5,22,20,2,6.62,3.3,83
5,23,19.6,5.5,26.61,3,77
5,24,22.1,0,19.19,2.9,65
5,25,22.4,0,27.06,3.6,66
5,26,21.1,0,23.77,2.8,61
5,27,16.9,35.5,3.14,2.1,94
5,28,20.5,0,17.61,2.9,75
5,29,22.8,0,16.67,3.4,67
5,30,21.2,0.5,18.84,2.8,71
5,31,20.6,7.5,24.27,3.1,68
6,1,20.1,0.5,25.87,3.1,74
6,2,22,0,15.24,3,70
6,3,22.1,3,23.23,3.2,73
6,4,21,23,2.75,5.2,97
6,5,22.1,0,18.39,2.9,77
6,6,21.7,0.5,9.1,1.8,83
6,7,23.4,0,15.89,2,71
6,8,24.8,0,22.35,2.2,64
6,9,24.5,0,28.67,2.8,55
6,10,24.1,0,28.59,2.7,64
6,11,23.7,0,24.17,3.4,68
6,12,23.3,0,18.76,3.7,73
6,13,24.3,0,15.8,2.7,68
6,14,21,3.5,9.24,2.2,92
6,15,23.4,1,21.64,2.5,80
6,16,22.2,30.5,8.11,2.3,87
6,17,21.8,3.5,16.11,2.7,77
6,18,22.8,0,23.15,3,69
6,19,20.3,12,4.89,2.9,95
6,20,22.8,14.5,12.54,2.4,85
6,21,22.9,0,20.47,2.6,74
6,22,23.1,0,18.2,2.9,76
6,23,22,1.5,7.45,2.2,82
6,24,22.8,0,15.75,2.8,78
6,25,23.3,19,15.28,2.7,79
6,26,24.2,0,16.06,2,74
6,27,23.7,0,9.81,2.1,78
6,28,24.4,0,20.74,2.5,73
6,29,21.9,53,11.96,2.9,90
6,30,20.6,3,4.63,1.9,91
7,1,20.9,64.5,3.69,1.8,98
7,2,21.2,68,2.19,1.4,100
7,3,22.2,53.5,10.18,2.1,92
7,4,20.1,17.5,3.38,1.5,98
7,5,22.1,2.5,9.48,1.3,96
7,6,24.7,0.5,9.28,1.6,91
7,7,25.8,0.5,13.66,2,85
7,8,23.7,7.5,3.76,2.2,93
7,9,23.5,9,3.35,1.4,100
7,10,27,4.5,24.28,2.5,86
7,11,24.7,17.5,16.23,1.7,91
7,12,25.8,0,21.72,2,82
7,13,25.5,0,12.54,2,81
7,14,25.3,0,9.87,2.4,82
7,15,26.4,0,16.84,2.5,80
7,16,27.7,0,22.28,2.7,77
7,17,27.4,0,23.75,2.8,74
7,18,28.1,0,28.09,3.7,76
7,19,29.2,0,25.95,2.7,75
7,20,28.8,0,24.34,2.9,72
7,21,28.4,0,26.3,2.8,70
7,22,28.4,0,25.67,2.9,69
7,23,28.4,0,22.02,2.9,71
7,24,28.5,0,22.05,2.9,72
7,25,28.5,0,24.17,2.5,70
7,26,27.5,0,17.88,2.9,66
7,27,24.9,34.5,13.77,3.1,84
7,28,27.7,0,19.85,3.4,79
7,29,27.8,0,17.68,3.6,79
7,30,25.8,30,9.86,2.4,93
7,31,27.5,0,20.67,2.2,77
8,1,28.7,0,26.58,3.2,76
8,2,28.6,0.5,19.95,3.4,80
8,3,29,3,19.89,4,80
8,4,29.5,0,26.52,3,76
8,5,29.1,0,26.17,2.8,74
8,6,29.1,0,24.82,2.9,75
8,7,27.9,2,11.43,2.5,85
8,8,25.9,90.5,3.43,3,97
8,9,28.1,2,13.34,6.1,84
8,10,31,0,22.45,4.7,58
8,11,29.2,0,21.12,2.9,61
8,12,26,0.5,8.34,2.4,84
8,13,22.5,20.5,4.36,2.7,97
8,14,22.3,77,2.76,2.7,100
8,15,19.3,138.5,2.78,2,100
8,16,20.7,2,4.34,1.8,98
8,17,23.7,23.5,9.08,2.4,96
8,18,27,3,17.35,5.2,83
8,19,28.5,0,24.83,4.8,74
8,20,28.7,0,24.14,4.4,71
8,21,27.9,0,16.07,3.2,75
8,22,28.5,0,16.88,2.5,76
8,23,26.9,2.5,14.41,2.3,84
8,24,27.5,0,14.6,2.8,78
8,25,29.4,0,17.99,2.5,76
8,26,30.5,0,19.41,2.3,75
8,27,30,0,18.14,2.5,74
8,28,29.8,0,20.29,2.4,76
8,29,28.5,0,8.74,2.7,72
8,30,29.2,0,21.18,2.8,79
8,31,26.9,17,12.22,2.9,76
9,1,20.7,3,2.48,2.2,95
9,2,19.4,18.5,1.75,2.1,99
9,3,19.7,17,3.38,2.2,99
9,4,20.6,14,2.84,2.2,97
9,5,21,10,7.71,2.7,87
9,6,19.9,8.5,5.18,2.4,86
9,7,20.4,0,12.62,2.5,71
9,8,20.3,0.5,9.24,1.5,83
9,9,20.5,14,4.29,1.6,96
9,10,24.8,0,19.15,2.5,81
9,11,25,0,9.54,1.6,85
9,12,24.4,0,5.77,1.9,89
9,13,25.2,0,18.33,2.6,71
9,14,22.8,5.5,6.55,2.1,84
9,15,22.9,1.5,15.9,2.3,82
9,16,22.3,0,13.22,2.9,74
9,17,22.3,0,9.27,2.4,78
9,18,23.7,124.5,4.91,3.5,98
9,19,23.9,0,21.41,3.1,74
9,20,22.4,0,21.94,2.5,69
9,21,22.7,0,15.23,2.2,75
9,22,24.9,1,12.47,3.1,85
9,23,26.6,0,18.11,2.3,77
9,24,25.4,0,19.7,2.7,62
9,25,22.1,0,4.9,3.5,73
9,26,19.9,0,4.27,2.2,76
9,27,20.1,0,9.67,2.7,75
9,28,21.1,0,13.19,2.4,73
9,29,21.9,0,12.62,2.1,78
9,30,23.2,4.5,13.52,2,83
10,1,19,113,0.66,3.8,91
10,2,21.9,2,18.98,2.3,77
10,3,22.1,0,18.47,2.4,75
10,4,23.5,0,15.23,2.8,77
10,5,23.9,0,17.64,2.8,75
10,6,22.8,0,13.81,2.8,74
10,7,21.3,0,4.64,1.7,80
10,8,24.2,0,17,2.4,75
10,9,22.7,0,10.5,3,83
10,10,22.2,0,12.38,2.3,80
10,11,24,0,15.59,2.6,80
10,12,20.5,2.5,2.14,3.1,90
10,13,17.4,10.5,2.69,2.3,97
10,14,19.1,0,14.32,2,82
10,15,20.7,0,13.69,1.9,80
10,16,21,0.5,3.13,2.1,90
10,17,15.7,13.5,1.67,3.3,84
10,18,13.6,0,17.25,3,58
10,19,13.5,9,3.39,2.6,75
10,20,16.1,0,17.53,3.5,62
10,21,15.4,0,12.64,2.6,51
10,22,11.2,9.5,1.39,2.3,92
10,23,13.6,0,17.05,3.2,63
10,24,13.4,0,16.24,1.7,63
10,25,14,5.5,7.04,2.3,70
10,26,15,30,12.72,2.8,85
10,27,14.5,1,5,1.5,91
10,28,17.6,0.5,15.6,2.2,62
10,29,15.3,0,15.82,2.6,53
10,30,14.5,0,15.49,2,61
10,31,13.6,2,3.97,1.6,80
11,1,16.8,0,10.45,1.8,81
11,2,17.7,0,10.29,1.9,78
11,3,17.1,0,13.73,2,61
11,4,15.5,0,13.68,1.8,57
11,5,15.3,0,14.54,2.1,61
11,6,14.9,0,13.86,2,66
11,7,15.7,1,9.81,2.4,73
11,8,16.4,1.5,11.7,2.4,79
11,9,16.1,47.5,1.48,2,99
11,10,16,0,11.94,3.3,60
11,11,15.4,0,14.04,2.9,49
11,12,14.5,0,13.29,2.1,52
11,13,13.1,0,13.64,2.2,55
11,14,14,0,12.76,1.9,62
11,15,14.3,0,13.36,1.7,57
11,16,14.2,0,10.15,2.2,66
11,17,13.5,0,12.14,2.1,60
11,18,12.6,0,8.51,1.8,72
11,19,12.5,0,10.1,1.8,73
11,20,13.2,0,11.74,2,69
11,21,12.5,12.5,4.42,1.5,83
11,22,13.5,24.5,2.69,2.2,98
11,23,12.5,0,9.46,2.5,58
11,24,11.4,0,12.55,2.9,48
11,25,12.3,0,12.39,2.3,51
11,26,12,0,12.06,2,59
11,27,9.6,0,10.83,3.7,48
11,28,8.9,0,12.54,2.9,51
11,29,8.1,0,11.38,1.6,59
11,30,11,6,10.56,2.1,72
12,1,15.5,54.5,9.09,3.6,67
12,2,10.1,0,12.32,2.6,44
12,3,9.7,0,11.6,2.1,58
12,4,9.9,0,11.33,1.6,55
12,5,8.6,0,11.03,2.6,51
12,6,8.9,0,4.03,2.4,66
12,7,11.8,9.5,3.5,2.4,86
12,8,9.5,36.5,2.26,3.6,92
12,9,10.2,0,10.27,2.8,66
12,10,8.6,0,8.47,2,69
12,11,9.4,0,10.95,1.5,73
12,12,11.3,0,8.83,1.7,72
12,13,9.7,0,11.71,3.7,46
12,14,5.1,5.5,2.53,2.1,77
12,15,7.6,0,11.29,1.2,73
12,16,9.5,0,10.6,1.7,68
12,17,8.7,6,3.42,2.8,80
12,18,4.5,0,11.76,4.1,39
12,19,4.3,0,11.24,1.4,53
12,20,6.4,0,11.09,2,61
12,21,8.2,0,11.09,1.6,66
12,22,8.8,0,10.53,3.5,50
12,23,8.3,0,11.25,3.5,41
12,24,8,0.5,11.36,1.8,58
12,25,8.3,3.5,8.51,2.2,68
12,26,3.5,0,11.13,3.9,36
12,27,2.7,0,11.44,2,40
12,28,3.8,0,11.69,2.4,49
12,29,4.2,0,10.45,1.6,54
12,30,6.5,0,10.98,2,53
12,31,3.2,0,6.3,3,51