Q,L,K
1358139 ,122533 ,1311272 
640545 ,44963 ,471887 
524442 ,69485 ,675177 
1015985 ,95143 ,1271775 
436403 ,47126 ,419140 
673840 ,79841 ,902171 
1294647 ,129856 ,1533665 
3474807 ,229195 ,4133282 
1948929 ,169975 ,2812045 
2003565 ,171241 ,2828565 
3024352 ,299524 ,4005874 
3430740 ,167568 ,2780431 
1505519 ,156203 ,2360274 
4280898 ,289017 ,4711700 
1459202 ,141711 ,1568499 
1215248 ,103215 ,1268275 
950148 ,79353 ,944123 
601835 ,54233 ,651606 
764747 ,56857 ,918294 
1435068 ,160316 ,1973336 
1460212 ,154694 ,1750825 
3783330 ,330741 ,5462673 
8301726 ,725467 ,12559389 
2712731 ,174147 ,3258303 
1870268 ,139754 ,2675675 
1210886 ,107303 ,1977819 
3680942 ,301893 ,4393803 
4210724 ,296202 ,4533655 
377717 ,44705 ,585135 
601049 ,37572 ,747405 
223992 ,26665 ,204189 
315833 ,32185 ,381854 
1748483 ,121881 ,1680613 
2781878 ,176300 ,2568993 
1468970 ,81572 ,1806204 
584883 ,37154 ,767911 
673688 ,53525 ,681266 
1155648 ,57060 ,889897 
158117 ,15285 ,140557 
2205398 ,176283 ,2247985 
482233 ,50607 ,694803 
420769 ,41432 ,578186 
773706 ,77649 ,882046 
785884 ,53533 ,922610 
410592 ,43489 ,515673 
549164 ,52647 ,576130 
197085 ,15705 ,104252 