"price","date"
21217,"1988-01-04"
21575,"1988-01-05"
22791,"1988-01-06"
22792,"1988-01-07"
22873,"1988-01-08"
22578,"1988-01-11"
22625,"1988-01-12"
22325,"1988-01-13"
22604,"1988-01-14"
22910,"1988-01-18"
22898,"1988-01-19"
22843,"1988-01-20"
22710,"1988-01-21"
22877,"1988-01-22"
23318,"1988-01-25"
23499,"1988-01-26"
23336,"1988-01-27"
23587,"1988-01-28"
23622,"1988-01-29"
23732,"1988-02-01"
23672,"1988-02-02"
23595,"1988-02-03"
23709,"1988-02-04"
23651,"1988-02-05"
23772,"1988-02-08"
23662,"1988-02-09"
23772,"1988-02-10"
23982,"1988-02-12"
24207,"1988-02-15"
24346,"1988-02-16"
24430,"1988-02-17"
24675,"1988-02-18"
24773,"1988-02-19"
24847,"1988-02-22"
24949,"1988-02-23"
24969,"1988-02-24"
25101,"1988-02-25"
25165,"1988-02-26"
25243,"1988-02-29"
25436,"1988-03-01"
25683,"1988-03-02"
25596,"1988-03-03"
25616,"1988-03-04"
25617,"1988-03-07"
25466,"1988-03-08"
25605,"1988-03-09"
25618,"1988-03-10"
25544,"1988-03-11"
25434,"1988-03-14"
25476,"1988-03-15"
25704,"1988-03-16"
25872,"1988-03-17"
25966,"1988-03-18"
25843,"1988-03-22"
25895,"1988-03-23"
25781,"1988-03-24"
25627,"1988-03-25"
25623,"1988-03-28"
25953,"1988-03-29"
26320,"1988-03-30"
26260,"1988-03-31"
26104,"1988-04-01"
26335,"1988-04-04"
26315,"1988-04-05"
26511,"1988-04-06"
26769,"1988-04-07"
26749,"1988-04-08"
26925,"1988-04-11"
26931,"1988-04-12"
26986,"1988-04-13"
27111,"1988-04-14"
26894,"1988-04-15"
26671,"1988-04-18"
26657,"1988-04-19"
26864,"1988-04-20"
26828,"1988-04-21"
26837,"1988-04-22"
27213,"1988-04-25"
27247,"1988-04-26"
27192,"1988-04-27"
27434,"1988-04-28"
27670,"1988-05-02"
27534,"1988-05-06"
27264,"1988-05-09"
27412,"1988-05-10"
27161,"1988-05-11"
27213,"1988-05-12"
27468,"1988-05-13"
27760,"1988-05-16"
27820,"1988-05-17"
27768,"1988-05-18"
27373,"1988-05-19"
27394,"1988-05-20"
27250,"1988-05-23"
27313,"1988-05-24"
27444,"1988-05-25"
27428,"1988-05-26"
27290,"1988-05-27"
27223,"1988-05-30"
27417,"1988-05-31"
27704,"1988-06-01"
27869,"1988-06-02"
27822,"1988-06-03"
27996,"1988-06-06"
27967,"1988-06-07"
27913,"1988-06-08"
28072,"1988-06-09"
27920,"1988-06-10"
28038,"1988-06-13"
28062,"1988-06-14"
28094,"1988-06-15"
28147,"1988-06-16"
28342,"1988-06-17"
28139,"1988-06-20"
27926,"1988-06-21"
27861,"1988-06-22"
27733,"1988-06-23"
27750,"1988-06-24"
27435,"1988-06-27"
27398,"1988-06-28"
27607,"1988-06-29"
27769,"1988-06-30"
27504,"1988-07-01"
27360,"1988-07-04"
27577,"1988-07-05"
27767,"1988-07-06"
27728,"1988-07-07"
27917,"1988-07-08"
27986,"1988-07-11"
28100,"1988-07-12"
28020,"1988-07-13"
28084,"1988-07-14"
27914,"1988-07-15"
27662,"1988-07-18"
27149,"1988-07-19"
27554,"1988-07-20"
27676,"1988-07-21"
27285,"1988-07-22"
27184,"1988-07-25"
27304,"1988-07-26"
27739,"1988-07-27"
27796,"1988-07-28"
27912,"1988-07-29"
28326,"1988-08-01"
28366,"1988-08-02"
28348,"1988-08-03"
28293,"1988-08-04"
28423,"1988-08-05"
28253,"1988-08-08"
28170,"1988-08-09"
27555,"1988-08-10"
27785,"1988-08-11"
27834,"1988-08-12"
27901,"1988-08-15"
27897,"1988-08-16"
28179,"1988-08-17"
28129,"1988-08-18"
28209,"1988-08-19"
28079,"1988-08-22"
27920,"1988-08-23"
27800,"1988-08-24"
27870,"1988-08-25"
27565,"1988-08-26"
27379,"1988-08-29"
27512,"1988-08-30"
27366,"1988-08-31"
26934,"1988-09-01"
27117,"1988-09-02"
27342,"1988-09-05"
27321,"1988-09-06"
27504,"1988-09-07"
27740,"1988-09-08"
27647,"1988-09-09"
27757,"1988-09-12"
27794,"1988-09-13"
27806,"1988-09-14"
27866,"1988-09-16"
27901,"1988-09-19"
27549,"1988-09-20"
27713,"1988-09-21"
27428,"1988-09-22"
27334,"1988-09-26"
27500,"1988-09-27"
27752,"1988-09-28"
27700,"1988-09-29"
27924,"1988-09-30"
27546,"1988-10-03"
27501,"1988-10-04"
27405,"1988-10-05"
27172,"1988-10-06"
27258,"1988-10-07"
27470,"1988-10-11"
27409,"1988-10-12"
27273,"1988-10-13"
27307,"1988-10-14"
27269,"1988-10-17"
27142,"1988-10-18"
27294,"1988-10-19"
27391,"1988-10-20"
27401,"1988-10-21"
27282,"1988-10-24"
27421,"1988-10-25"
27621,"1988-10-26"
27723,"1988-10-27"
27741,"1988-10-28"
27983,"1988-10-31"
28014,"1988-11-01"
27985,"1988-11-02"
27953,"1988-11-04"
27866,"1988-11-07"
28007,"1988-11-08"
28213,"1988-11-09"
28166,"1988-11-10"
28490,"1988-11-11"
28521,"1988-11-14"
28829,"1988-11-15"
28996,"1988-11-16"
29077,"1988-11-17"
29180,"1988-11-18"
29284,"1988-11-21"
29430,"1988-11-22"
29340,"1988-11-24"
29407,"1988-11-25"
28983,"1988-11-28"
29318,"1988-11-29"
29579,"1988-11-30"
29541,"1988-12-01"
29532,"1988-12-02"
29615,"1988-12-05"
29669,"1988-12-06"
30051,"1988-12-07"
29759,"1988-12-08"
29793,"1988-12-09"
29672,"1988-12-12"
29598,"1988-12-13"
29755,"1988-12-14"
29706,"1988-12-15"
29537,"1988-12-16"
29470,"1988-12-19"
29568,"1988-12-20"
29698,"1988-12-21"
29775,"1988-12-22"
29686,"1988-12-23"
29868,"1988-12-26"
30051,"1988-12-27"
30159,"1988-12-28"
30244,"1988-12-29"
30184,"1988-12-30"
30210,"1989-01-04"
30678,"1989-01-05"
31007,"1989-01-06"
31143,"1989-01-09"
31143,"1989-01-10"
31298,"1989-01-11"
31228,"1989-01-12"
31355,"1989-01-13"
31311,"1989-01-17"
31170,"1989-01-18"
31333,"1989-01-19"
31558,"1989-01-20"
31568,"1989-01-23"
31512,"1989-01-24"
31646,"1989-01-25"
31568,"1989-01-26"
31581,"1989-01-27"
31361,"1989-01-30"
31498,"1989-01-31"
31686,"1989-02-01"
31829,"1989-02-02"
31881,"1989-02-03"
32065,"1989-02-06"
32078,"1989-02-07"
32132,"1989-02-08"
31985,"1989-02-09"
31983,"1989-02-10"
32149,"1989-02-13"
32084,"1989-02-14"
32173,"1989-02-15"
32177,"1989-02-16"
31980,"1989-02-17"
32312,"1989-02-20"
32452,"1989-02-21"
32286,"1989-02-22"
31986,"1989-02-23"
31964,"1989-02-27"
32074,"1989-02-28"
32000,"1989-03-01"
31877,"1989-03-02"
31938,"1989-03-03"
31838,"1989-03-06"
31656,"1989-03-07"
31702,"1989-03-08"
31553,"1989-03-09"
31724,"1989-03-10"
32100,"1989-03-13"
32098,"1989-03-14"
32021,"1989-03-15"
31655,"1989-03-16"
31443,"1989-03-17"
31589,"1989-03-21"
31493,"1989-03-22"
31512,"1989-03-23"
32306,"1989-03-24"
32737,"1989-03-27"
32826,"1989-03-28"
32839,"1989-03-29"
33042,"1989-03-30"
33312,"1989-03-31"
33361,"1989-04-03"
32996,"1989-04-04"
33185,"1989-04-05"
32999,"1989-04-06"
33250,"1989-04-07"
33256,"1989-04-10"
33064,"1989-04-11"
33150,"1989-04-12"
33308,"1989-04-13"
33322,"1989-04-14"
33364,"1989-04-17"
33185,"1989-04-18"
33030,"1989-04-19"
32806,"1989-04-20"
33245,"1989-04-21"
33435,"1989-04-24"
33501,"1989-04-25"
33713,"1989-04-26"
33793,"1989-04-27"
33955,"1989-04-28"
34135,"1989-05-01"
34032,"1989-05-02"
33992,"1989-05-08"
34081,"1989-05-09"
33866,"1989-05-10"
33716,"1989-05-11"
33926,"1989-05-12"
33992,"1989-05-15"
33856,"1989-05-16"
34001,"1989-05-17"
34068,"1989-05-18"
33817,"1989-05-19"
33852,"1989-05-22"
34005,"1989-05-23"
34192,"1989-05-24"
34161,"1989-05-25"
34077,"1989-05-26"
34267,"1989-05-29"
33981,"1989-05-30"
33667,"1989-05-31"
33457,"1989-06-01"
33452,"1989-06-02"
33627,"1989-06-05"
33718,"1989-06-06"
33640,"1989-06-07"
33398,"1989-06-08"
33214,"1989-06-09"
33403,"1989-06-12"
32913,"1989-06-13"
33055,"1989-06-14"
33013,"1989-06-15"
33233,"1989-06-16"
33345,"1989-06-19"
33325,"1989-06-20"
33531,"1989-06-21"
33626,"1989-06-22"
33469,"1989-06-23"
33246,"1989-06-26"
32956,"1989-06-27"
32949,"1989-06-28"
33236,"1989-06-29"
33190,"1989-06-30"
33310,"1989-07-03"
33423,"1989-07-04"
33704,"1989-07-05"
33676,"1989-07-06"
33747,"1989-07-07"
33702,"1989-07-10"
33631,"1989-07-11"
33575,"1989-07-12"
33456,"1989-07-13"
33344,"1989-07-14"
33557,"1989-07-17"
33665,"1989-07-18"
33899,"1989-07-19"
34093,"1989-07-20"
34539,"1989-07-21"
34516,"1989-07-24"
34785,"1989-07-25"
34706,"1989-07-26"
34954,"1989-07-27"
34898,"1989-07-28"
34899,"1989-07-31"
34780,"1989-08-01"
34742,"1989-08-02"
34630,"1989-08-03"
34759,"1989-08-04"
34859,"1989-08-07"
34720,"1989-08-08"
34713,"1989-08-09"
34672,"1989-08-10"
34811,"1989-08-11"
35084,"1989-08-14"
35090,"1989-08-15"
35063,"1989-08-16"
35141,"1989-08-17"
35114,"1989-08-18"
34893,"1989-08-21"
34787,"1989-08-22"
34740,"1989-08-23"
34607,"1989-08-24"
34688,"1989-08-25"
34472,"1989-08-28"
34431,"1989-08-29"
34348,"1989-08-30"
34484,"1989-08-31"
34442,"1989-09-01"
34271,"1989-09-04"
34153,"1989-09-05"
34116,"1989-09-06"
34114,"1989-09-07"
34333,"1989-09-08"
34287,"1989-09-11"
34402,"1989-09-12"
34473,"1989-09-13"
34471,"1989-09-14"
34471,"1989-09-18"
34745,"1989-09-19"
34772,"1989-09-20"
34961,"1989-09-21"
35445,"1989-09-25"
35371,"1989-09-26"
35690,"1989-09-27"
35637,"1989-09-28"
35623,"1989-09-29"
35366,"1989-10-02"
35383,"1989-10-03"
35523,"1989-10-04"
35209,"1989-10-05"
35376,"1989-10-06"
35240,"1989-10-09"
34795,"1989-10-11"
35116,"1989-10-12"
34469,"1989-10-13"
34996,"1989-10-16"
35108,"1989-10-17"
35374,"1989-10-18"
35486,"1989-10-19"
35586,"1989-10-20"
35527,"1989-10-23"
35442,"1989-10-24"
35678,"1989-10-25"
35527,"1989-10-26"
35417,"1989-10-27"
35549,"1989-10-30"
35564,"1989-10-31"
35495,"1989-11-01"
35434,"1989-11-02"
35270,"1989-11-06"
35596,"1989-11-07"
35657,"1989-11-08"
35663,"1989-11-09"
35750,"1989-11-10"
35769,"1989-11-13"
35852,"1989-11-14"
35876,"1989-11-15"
35964,"1989-11-16"
35894,"1989-11-17"
36060,"1989-11-20"
36287,"1989-11-21"
36484,"1989-11-22"
36882,"1989-11-24"
36985,"1989-11-27"
37021,"1989-11-28"
37269,"1989-11-29"
37133,"1989-11-30"
37304,"1989-12-01"
37494,"1989-12-04"
37654,"1989-12-05"
37858,"1989-12-06"
37724,"1989-12-07"
37753,"1989-12-08"
37804,"1989-12-11"
38062,"1989-12-12"
38181,"1989-12-13"
38271,"1989-12-14"
38586,"1989-12-15"
38439,"1989-12-18"
38512,"1989-12-19"
38215,"1989-12-20"
38040,"1989-12-21"
38424,"1989-12-22"
38681,"1989-12-25"
38802,"1989-12-26"
38877,"1989-12-27"
38916,"1989-12-28"
38713,"1989-12-29"
38275,"1990-01-04"
38295,"1990-01-05"
37951,"1990-01-08"
37697,"1990-01-09"
38170,"1990-01-10"
37517,"1990-01-11"
36850,"1990-01-12"
36821,"1990-01-16"
36729,"1990-01-17"
36837,"1990-01-18"
37257,"1990-01-19"
37378,"1990-01-22"
36779,"1990-01-23"
36969,"1990-01-24"
36874,"1990-01-25"
37174,"1990-01-26"
37216,"1990-01-29"
37189,"1990-01-30"
37206,"1990-01-31"
37650,"1990-02-01"
37631,"1990-02-02"
37667,"1990-02-05"
37302,"1990-02-06"
37516,"1990-02-07"
37288,"1990-02-08"
37107,"1990-02-09"
37156,"1990-02-13"
37472,"1990-02-14"
37460,"1990-02-15"
37223,"1990-02-16"
36896,"1990-02-19"
35734,"1990-02-20"
35827,"1990-02-21"
34891,"1990-02-22"
33322,"1990-02-23"
33898,"1990-02-26"
34592,"1990-02-27"
33830,"1990-02-28"
34058,"1990-03-01"
33845,"1990-03-02"
33791,"1990-03-05"
33362,"1990-03-06"
33691,"1990-03-07"
33993,"1990-03-08"
33368,"1990-03-09"
32621,"1990-03-12"
32352,"1990-03-13"
32672,"1990-03-14"
32616,"1990-03-15"
31263,"1990-03-16"
30807,"1990-03-19"
29843,"1990-03-21"
30372,"1990-03-22"
31840,"1990-03-23"
31826,"1990-03-26"
31264,"1990-03-27"
31026,"1990-03-28"
29980,"1990-03-29"
28002,"1990-03-30"
28760,"1990-04-02"
28443,"1990-04-03"
28249,"1990-04-04"
29279,"1990-04-05"
30398,"1990-04-06"
29625,"1990-04-09"
29440,"1990-04-10"
29623,"1990-04-11"
29214,"1990-04-12"
28463,"1990-04-13"
28462,"1990-04-16"
29249,"1990-04-17"
29945,"1990-04-18"
29835,"1990-04-19"
29679,"1990-04-20"
29501,"1990-04-23"
29564,"1990-04-24"
29425,"1990-04-25"
29585,"1990-04-26"
29690,"1990-04-27"
30174,"1990-05-01"
30956,"1990-05-02"
30971,"1990-05-07"
30946,"1990-05-08"
30980,"1990-05-09"
31512,"1990-05-10"
32043,"1990-05-11"
31997,"1990-05-14"
31968,"1990-05-15"
32062,"1990-05-16"
32014,"1990-05-17"
31765,"1990-05-18"
31938,"1990-05-21"
32177,"1990-05-22"
32312,"1990-05-23"
32794,"1990-05-24"
33192,"1990-05-25"
32818,"1990-05-28"
32926,"1990-05-29"
33131,"1990-05-30"
32891,"1990-05-31"
32925,"1990-06-01"
32922,"1990-06-04"
32954,"1990-06-05"
33193,"1990-06-06"
32993,"1990-06-07"
32540,"1990-06-08"
32322,"1990-06-11"
32372,"1990-06-12"
32668,"1990-06-13"
32538,"1990-06-14"
32377,"1990-06-15"
32040,"1990-06-18"
32088,"1990-06-19"
32087,"1990-06-20"
31695,"1990-06-21"
31124,"1990-06-22"
31572,"1990-06-25"
32313,"1990-06-26"
32106,"1990-06-27"
31940,"1990-06-28"
32160,"1990-06-29"
32415,"1990-07-02"
32446,"1990-07-03"
32352,"1990-07-04"
32445,"1990-07-05"
32538,"1990-07-06"
32152,"1990-07-09"
32294,"1990-07-10"
32575,"1990-07-11"
32644,"1990-07-12"
33022,"1990-07-13"
33172,"1990-07-16"
33048,"1990-07-17"
33056,"1990-07-18"
32422,"1990-07-19"
31895,"1990-07-20"
31702,"1990-07-23"
31701,"1990-07-24"
31370,"1990-07-25"
30863,"1990-07-26"
30443,"1990-07-27"
31036,"1990-07-30"
30838,"1990-07-31"
30245,"1990-08-01"
29516,"1990-08-02"
28600,"1990-08-03"
27653,"1990-08-06"
28509,"1990-08-07"
27616,"1990-08-08"
27330,"1990-08-09"
26176,"1990-08-10"
26673,"1990-08-13"
28112,"1990-08-14"
27549,"1990-08-15"
26787,"1990-08-16"
26490,"1990-08-17"
26298,"1990-08-20"
25211,"1990-08-21"
23738,"1990-08-22"
24166,"1990-08-23"
25142,"1990-08-24"
25711,"1990-08-27"
24895,"1990-08-28"
25670,"1990-08-29"
25978,"1990-08-30"
25420,"1990-08-31"
24908,"1990-09-03"
24078,"1990-09-04"
23812,"1990-09-05"
23962,"1990-09-06"
25081,"1990-09-07"
24605,"1990-09-10"
25216,"1990-09-11"
25075,"1990-09-12"
24897,"1990-09-13"
24366,"1990-09-14"
23885,"1990-09-17"
23726,"1990-09-18"
23603,"1990-09-19"
23778,"1990-09-20"
23359,"1990-09-21"
22251,"1990-09-24"
21772,"1990-09-25"
20984,"1990-09-26"
20222,"1990-09-27"
22898,"1990-09-28"
22849,"1990-10-01"
22278,"1990-10-02"
22828,"1990-10-03"
23630,"1990-10-04"
23495,"1990-10-05"
22586,"1990-10-08"
22390,"1990-10-09"
23109,"1990-10-11"
23606,"1990-10-12"
23859,"1990-10-15"
24367,"1990-10-16"
24481,"1990-10-17"
25071,"1990-10-18"
25298,"1990-10-19"
24877,"1990-10-22"
25353,"1990-10-23"
25006,"1990-10-24"
25329,"1990-10-25"
25242,"1990-10-26"
25194,"1990-10-29"
24295,"1990-10-30"
24195,"1990-10-31"
24385,"1990-11-01"
23966,"1990-11-02"
23500,"1990-11-05"
22970,"1990-11-06"
22932,"1990-11-07"
23974,"1990-11-08"
23937,"1990-11-09"
23487,"1990-11-13"
23172,"1990-11-14"
23518,"1990-11-15"
23205,"1990-11-16"
22817,"1990-11-19"
23400,"1990-11-20"
23698,"1990-11-21"
23624,"1990-11-22"
23054,"1990-11-26"
22713,"1990-11-27"
22455,"1990-11-28"
22726,"1990-11-29"
21863,"1990-11-30"
22194,"1990-12-03"
22553,"1990-12-04"
23522,"1990-12-05"
23785,"1990-12-06"
23957,"1990-12-07"
23999,"1990-12-10"
24643,"1990-12-11"
24350,"1990-12-12"
24088,"1990-12-13"
24424,"1990-12-14"
24877,"1990-12-17"
24525,"1990-12-18"
24120,"1990-12-19"
23768,"1990-12-20"
23888,"1990-12-21"
23941,"1990-12-25"
